(25,225.17)
(22.5,229.5)
(25,233.83)
(22.5,238.16)
(25,242.49)
(22.5,246.82)
(25,251.15)
(32.5,220.84)
(30,225.17)
(32.5,229.5)
(30,233.83)
(32.5,238.16)
(30,242.49)
(32.5,246.82)
(30,251.15)
(32.5,255.48)
(40,216.51)
(37.5,220.84)
(40,225.17)
(37.5,229.5)
(40,233.83)
(37.5,238.16)
(40,242.49)
(37.5,246.82)
(40,251.15)
(37.5,255.48)
(40,259.81)
(37.5,264.14)
(40,268.47)
(47.5,212.18)
(45,216.51)
(47.5,220.84)
(45,225.17)
(47.5,229.5)
(45,233.83)
(47.5,238.16)
(45,242.49)
(47.5,246.82)
(45,251.15)
(47.5,255.48)
(45,259.81)
(47.5,264.14)
(45,268.47)
(47.5,272.8)
(55,60.62)
(52.5,64.95)
(55,69.28)
(52.5,73.61)
(55,77.94)
(52.5,82.27)
(55,86.6)
(52.5,212.18)
(55,216.51)
(52.5,220.84)
(55,225.17)
(52.5,229.5)
(55,233.83)
(52.5,238.16)
(55,242.49)
(52.5,246.82)
(55,251.15)
(52.5,255.48)
(55,259.81)
(52.5,264.14)
(55,268.47)
(52.5,272.8)
(55,277.13)
(52.5,281.46)
(55,285.79)
(52.5,290.12)
(55,294.45)
(52.5,298.78)
(55,303.11)
(52.5,307.44)
(55,311.77)
(52.5,316.1)
(55,320.43)
(52.5,324.76)
(55,329.09)
(52.5,333.42)
(55,337.75)
(52.5,342.08)
(55,346.41)
(52.5,350.74)
(55,355.07)
(60,60.62)
(62.5,64.95)
(60,69.28)
(62.5,73.61)
(60,77.94)
(62.5,82.27)
(60,86.6)
(62.5,90.93)
(60,95.26)
(62.5,99.59)
(60,216.51)
(62.5,220.84)
(60,225.17)
(62.5,229.5)
(60,233.83)
(62.5,238.16)
(60,242.49)
(62.5,246.82)
(60,251.15)
(62.5,255.48)
(60,259.81)
(62.5,264.14)
(60,268.47)
(62.5,272.8)
(60,277.13)
(62.5,281.46)
(60,285.79)
(62.5,290.12)
(60,294.45)
(62.5,298.78)
(60,303.11)
(62.5,307.44)
(60,311.77)
(62.5,316.1)
(60,320.43)
(62.5,324.76)
(60,329.09)
(62.5,333.42)
(60,337.75)
(62.5,342.08)
(60,346.41)
(62.5,350.74)
(60,355.07)
(67.5,64.95)
(70,69.28)
(67.5,73.61)
(70,77.94)
(67.5,82.27)
(70,86.6)
(67.5,90.93)
(70,95.26)
(67.5,99.59)
(70,103.92)
(67.5,108.25)
(70,112.58)
(70,190.53)
(67.5,194.86)
(70,199.19)
(67.5,203.52)
(70,207.85)
(67.5,212.18)
(70,216.51)
(67.5,220.84)
(70,225.17)
(67.5,229.5)
(70,233.83)
(67.5,238.16)
(70,242.49)
(67.5,246.82)
(70,251.15)
(67.5,255.48)
(70,259.81)
(67.5,264.14)
(70,268.47)
(67.5,272.8)
(70,277.13)
(67.5,281.46)
(70,285.79)
(67.5,290.12)
(70,294.45)
(67.5,298.78)
(70,303.11)
(67.5,307.44)
(70,311.77)
(67.5,316.1)
(70,320.43)
(67.5,324.76)
(70,329.09)
(67.5,333.42)
(70,337.75)
(67.5,342.08)
(70,346.41)
(67.5,350.74)
(75,69.28)
(77.5,73.61)
(75,77.94)
(77.5,82.27)
(75,86.6)
(77.5,90.93)
(75,95.26)
(77.5,99.59)
(75,103.92)
(77.5,108.25)
(75,112.58)
(77.5,116.91)
(75,190.53)
(77.5,194.86)
(75,199.19)
(77.5,203.52)
(75,207.85)
(77.5,212.18)
(75,216.51)
(77.5,220.84)
(75,225.17)
(77.5,229.5)
(75,233.83)
(77.5,238.16)
(75,242.49)
(77.5,246.82)
(75,251.15)
(77.5,255.48)
(75,259.81)
(77.5,264.14)
(75,268.47)
(77.5,272.8)
(75,277.13)
(77.5,281.46)
(75,285.79)
(77.5,290.12)
(75,294.45)
(77.5,298.78)
(75,303.11)
(77.5,307.44)
(75,311.77)
(77.5,316.1)
(75,320.43)
(77.5,324.76)
(75,329.09)
(77.5,333.42)
(75,337.75)
(82.5,73.61)
(85,77.94)
(82.5,82.27)
(85,86.6)
(82.5,90.93)
(85,95.26)
(82.5,99.59)
(85,103.92)
(82.5,108.25)
(85,112.58)
(82.5,116.91)
(85,121.24)
(82.5,125.57)
(85,129.9)
(85,190.53)
(82.5,194.86)
(85,199.19)
(82.5,203.52)
(85,207.85)
(82.5,212.18)
(85,216.51)
(82.5,220.84)
(85,225.17)
(82.5,229.5)
(85,233.83)
(82.5,238.16)
(85,242.49)
(82.5,246.82)
(85,251.15)
(82.5,255.48)
(85,259.81)
(82.5,264.14)
(85,268.47)
(82.5,272.8)
(85,277.13)
(82.5,281.46)
(85,285.79)
(82.5,290.12)
(82.5,307.44)
(85,311.77)
(82.5,316.1)
(85,320.43)
(82.5,324.76)
(85,329.09)
(82.5,333.42)
(90,77.94)
(92.5,82.27)
(90,86.6)
(92.5,90.93)
(90,95.26)
(92.5,99.59)
(90,103.92)
(92.5,108.25)
(90,112.58)
(92.5,116.91)
(90,121.24)
(92.5,125.57)
(90,129.9)
(92.5,134.23)
(90,138.56)
(92.5,142.89)
(92.5,186.2)
(90,190.53)
(92.5,194.86)
(90,199.19)
(92.5,203.52)
(90,207.85)
(92.5,212.18)
(90,216.51)
(92.5,220.84)
(90,225.17)
(92.5,229.5)
(90,233.83)
(92.5,238.16)
(90,242.49)
(92.5,246.82)
(90,251.15)
(92.5,255.48)
(90,259.81)
(92.5,264.14)
(90,268.47)
(92.5,272.8)
(90,277.13)
(92.5,281.46)
(90,285.79)
(92.5,290.12)
(90,294.45)
(92.5,298.78)
(90,311.77)
(92.5,316.1)
(90,320.43)
(97.5,90.93)
(100,95.26)
(97.5,99.59)
(100,103.92)
(97.5,108.25)
(100,112.58)
(97.5,116.91)
(100,121.24)
(97.5,125.57)
(100,129.9)
(97.5,134.23)
(100,138.56)
(97.5,142.89)
(100,147.22)
(100,164.54)
(97.5,168.87)
(100,173.21)
(97.5,186.2)
(100,190.53)
(97.5,194.86)
(100,199.19)
(97.5,203.52)
(100,207.85)
(97.5,212.18)
(100,216.51)
(97.5,220.84)
(100,225.17)
(97.5,229.5)
(100,233.83)
(97.5,238.16)
(100,242.49)
(97.5,246.82)
(100,251.15)
(97.5,255.48)
(100,259.81)
(97.5,264.14)
(100,268.47)
(97.5,272.8)
(100,277.13)
(97.5,281.46)
(100,285.79)
(97.5,290.12)
(100,294.45)
(97.5,298.78)
(100,303.11)
(105,95.26)
(107.5,99.59)
(105,103.92)
(107.5,108.25)
(105,112.58)
(107.5,116.91)
(105,121.24)
(107.5,125.57)
(105,129.9)
(107.5,134.23)
(105,138.56)
(107.5,142.89)
(105,147.22)
(107.5,151.55)
(105,155.88)
(107.5,160.21)
(105,164.54)
(107.5,168.87)
(105,173.21)
(107.5,177.54)
