(0,0)
(2.5,-4.33)
(7.5,-4.33)
(10,0)
(7.5,4.33)
(2.5,4.33)
(0,8.66)
(10,8.66)
(7.5,12.99)
(2.5,12.99)
(0,17.32)
(10,17.32)
(7.5,21.65)
(2.5,21.65)
(0,25.98)
(10,25.98)
(7.5,30.31)
(2.5,30.31)
(0,34.64)
(10,34.64)
(7.5,38.97)
(2.5,38.97)
(0,43.3)
(10,43.3)
(7.5,47.63)
(2.5,47.63)
(0,51.96)
(10,51.96)
(7.5,56.29)
(2.5,56.29)
(0,60.62)
(10,60.62)
(7.5,64.95)
(2.5,64.95)
(0,69.28)
(10,69.28)
(7.5,73.61)
(2.5,73.61)
(0,77.94)
(10,77.94)
(7.5,82.27)
(2.5,82.27)
(0,86.6)
(10,86.6)
(7.5,90.93)
(2.5,90.93)
(0,95.26)
(10,95.26)
(7.5,99.59)
(2.5,99.59)
(0,103.92)
(10,103.92)
(7.5,108.25)
(2.5,108.25)
(0,112.58)
(10,112.58)
(7.5,116.91)
(2.5,116.91)
(0,121.24)
(10,121.24)
(7.5,125.57)
(2.5,125.57)
(0,129.9)
(10,129.9)
(7.5,134.23)
(2.5,134.23)
(0,138.56)
(10,138.56)
(7.5,142.89)
(2.5,142.89)
(0,147.22)
(10,147.22)
(7.5,151.55)
(2.5,151.55)
(0,155.88)
(10,155.88)
(7.5,160.21)
(2.5,160.21)
(0,164.54)
(10,164.54)
(7.5,168.87)
(2.5,168.87)
(0,173.21)
(10,173.21)
(7.5,177.54)
(2.5,177.54)
(0,181.87)
(10,181.87)
(7.5,186.2)
(2.5,186.2)
(0,190.53)
(10,190.53)
(7.5,194.86)
(2.5,194.86)
(0,199.19)
(10,199.19)
(7.5,203.52)
(2.5,203.52)
(0,207.85)
(10,207.85)
(7.5,212.18)
(2.5,212.18)
(0,216.51)
(10,216.51)
(7.5,220.84)
(2.5,220.84)
(0,225.17)
(10,225.17)
(7.5,229.5)
(2.5,229.5)
(0,233.83)
(10,233.83)
(7.5,238.16)
(2.5,238.16)
(0,242.49)
(10,242.49)
(7.5,246.82)
(2.5,246.82)
(0,251.15)
(10,251.15)
(7.5,255.48)
(2.5,255.48)
(0,259.81)
(10,259.81)
(7.5,264.14)
(2.5,264.14)
(0,268.47)
(10,268.47)
(7.5,272.8)
(2.5,272.8)
(0,277.13)
(10,277.13)
(7.5,281.46)
(2.5,281.46)
(0,285.79)
(10,285.79)
(7.5,290.12)
(2.5,290.12)
(0,294.45)
(10,294.45)
(7.5,298.78)
(2.5,298.78)
(0,303.11)
(10,303.11)
(7.5,307.44)
(2.5,307.44)
(0,311.77)
(10,311.77)
(7.5,316.1)
(2.5,316.1)
(0,320.43)
(10,320.43)
(7.5,324.76)
(2.5,324.76)
(0,329.09)
(10,329.09)
(7.5,333.42)
(2.5,333.42)
(0,337.75)
(10,337.75)
(7.5,342.08)
(2.5,342.08)
(0,346.41)
(10,346.41)
(7.5,350.74)
(2.5,350.74)
(0,355.07)
(10,355.07)
(7.5,359.4)
(2.5,359.4)
(0,363.73)
(10,363.73)
(7.5,368.06)
(2.5,368.06)
(0,372.39)
(10,372.39)
(7.5,376.72)
(2.5,376.72)
(0,381.05)
(10,381.05)
(7.5,385.38)
(2.5,385.38)
(0,389.71)
(10,389.71)
(7.5,394.04)
(2.5,394.04)
(0,398.37)
(10,398.37)
(7.5,402.7)
(2.5,402.7)
(0,407.03)
(10,407.03)
(7.5,411.36)
(2.5,411.36)
(0,415.69)
(10,415.69)
(7.5,420.02)
(2.5,420.02)
(0,424.35)
(10,424.35)
(7.5,428.68)
(2.5,428.68)
(15,0)
(17.5,4.33)
(15,8.66)
(17.5,12.99)
(15,17.32)
(17.5,21.65)
(15,25.98)
(17.5,30.31)
(15,34.64)
(17.5,38.97)
(15,43.3)
(17.5,47.63)
(15,51.96)
(17.5,56.29)
(15,60.62)
(17.5,64.95)
(15,69.28)
(17.5,73.61)
(15,77.94)
(17.5,82.27)
(15,86.6)
(17.5,90.93)
(15,95.26)
(17.5,99.59)
(15,103.92)
(17.5,108.25)
(15,112.58)
(17.5,116.91)
(15,121.24)
(17.5,125.57)
(15,129.9)
(17.5,134.23)
(15,138.56)
(17.5,142.89)
(15,147.22)
(17.5,151.55)
(15,155.88)
(17.5,160.21)
(15,164.54)
(17.5,168.87)
(15,173.21)
(17.5,177.54)
(15,181.87)
(17.5,186.2)
(15,190.53)
